geneid	SRR10379721	SRR10379722	SRR10379723	SRR10379724	SRR10379725	SRR10379726
gene-SAOUHSC_00412	2930	2838	1714	9032	10094	2464
gene-SAOUHSC_00413	10686	11095	6157	29320	38589	15339
gene-SAOUHSC_00414	3185	2508	1958	7276	8904	1470
gene-SAOUHSC_00415	60	37	59	41	42	1
gene-SAOUHSC_00416	2015	1612	1298	1913	2638	226
gene-SAOUHSC_00417	3784	2790	2622	3307	3881	533
gene-SAOUHSC_00418	72	72	49	33	43	12
gene-SAOUHSC_00420	7693	4400	4374	11163	16722	2901
gene-SAOUHSC_00421	3122	1967	2791	112	152	47
gene-SAOUHSC_00422	13751	7504	12171	375	374	72
gene-SAOUHSC_00423	3197	2173	2974	856	1635	176
gene-SAOUHSC_00424	1704	1140	1615	281	561	94
gene-SAOUHSC_00426	6860	3944	5921	931	2402	137
gene-SAOUHSC_00427	2644	2392	3184	12766	14490	6613
gene-SAOUHSC_00428	1882	1077	1418	1107	781	22
gene-SAOUHSC_00429	504	427	400	581	752	156
gene-SAOUHSC_00430	2524	1776	1832	1789	2294	944
gene-SAOUHSC_00431	2659	1570	2180	718	1338	137
gene-SAOUHSC_00433	1411	839	1043	948	1798	385
gene-SAOUHSC_00434	313	227	199	265	353	37
gene-SAOUHSC_00435	16105	9967	20250	85658	125006	28818
gene-SAOUHSC_00436	13770	8427	16980	35046	43518	12636
gene-SAOUHSC_00437	8412	14895	8354	6604	7379	1773
gene-SAOUHSC_00438	2990	4515	3159	1164	1526	360
gene-SAOUHSC_00439	2433	2885	2478	912	1024	230
gene-SAOUHSC_00440	439	355	396	54	29	16
gene-SAOUHSC_00441	1116	960	1072	1424	1784	365
gene-SAOUHSC_00442	12460	11722	12876	7089	8655	2079
gene-SAOUHSC_00444	5311	5222	5393	5039	8011	3391
gene-SAOUHSC_00445	10213	8041	9372	7480	9590	2646
gene-SAOUHSC_00446	47	42	37	17	14	4
gene-SAOUHSC_00450	597	450	380	1245	1406	213
gene-SAOUHSC_00451	606	521	495	889	1102	115
gene-SAOUHSC_00452	5260	5985	4164	9303	13480	3005
gene-SAOUHSC_00453	24	9	14	19	6	0
gene-SAOUHSC_00454	694	641	629	2328	3005	136
gene-SAOUHSC_00455	1538	1086	1306	1075	1650	358
gene-SAOUHSC_00456	1263	824	968	578	597	95
gene-SAOUHSC_00457	430	382	367	291	349	59
gene-SAOUHSC_00458	159	159	121	110	155	28
gene-SAOUHSC_00459	580	421	357	358	385	75
gene-SAOUHSC_00460	11	7	10	6	8	0
gene-SAOUHSC_00461	6669	5012	4746	12096	17724	1818
gene-SAOUHSC_00462	5270	3637	3848	6629	9306	3953
gene-SAOUHSC_00463	355	320	284	1237	2551	368
gene-SAOUHSC_00464	619	548	425	1739	2769	947
gene-SAOUHSC_00465	38683	37147	25676	26361	15782	1576
gene-SAOUHSC_00466	13419	13483	11732	10915	15171	4113
gene-SAOUHSC_00467	16817	15523	14612	14342	18495	2469
gene-SAOUHSC_00468	30565	29445	22210	56798	78991	26008
gene-SAOUHSC_00469	37392	36340	26292	57833	71877	34817
gene-SAOUHSC_00470	13	25	15	19	68	29
gene-SAOUHSC_00471	13615	14167	11587	17153	17328	10466
gene-SAOUHSC_00472	16280	16593	13684	14532	16544	3749
gene-SAOUHSC_00473	57	32	20	19	9	0
gene-SAOUHSC_00474	233440	197772	237474	37833	32713	14772
gene-SAOUHSC_00475	709	527	416	2101	2539	404
gene-SAOUHSC_00477	7431	5774	5283	8277	11378	2268
gene-SAOUHSC_00479	3531	2739	2392	3619	4626	443
gene-SAOUHSC_00480	6277	4952	4718	6107	8997	1823
gene-SAOUHSC_00481	1890	1561	1592	1932	3550	487
gene-SAOUHSC_00482	3815	2375	2836	3329	4979	641
gene-SAOUHSC_00483	11387	8577	7455	17565	18325	2709
gene-SAOUHSC_00484	1066	858	726	1704	2302	521
gene-SAOUHSC_00485	1379	1292	1027	2255	2865	466
gene-SAOUHSC_00486	43766	37772	27216	60057	72504	17665
gene-SAOUHSC_00487	5639	4875	3865	6361	6866	2010
gene-SAOUHSC_00488	20840	15946	16451	17762	27958	10965
gene-SAOUHSC_00489	570	493	503	711	927	193
gene-SAOUHSC_00490	768	585	752	534	655	63
gene-SAOUHSC_00491	4612	4185	4809	2917	3299	485
gene-SAOUHSC_00492	1254	817	1650	1103	2112	83
gene-SAOUHSC_00493	36557	31150	38334	25557	34607	7654
gene-SAOUHSC_00497	491	270	234	248	360	15
gene-SAOUHSC_00499	1514	1235	1051	2388	2382	1076
gene-SAOUHSC_00500	1361	1024	913	2009	2304	279
gene-SAOUHSC_00501	3493	2884	2325	12450	14203	1073
gene-SAOUHSC_00502	9064	9144	4644	6574	2285	87
gene-SAOUHSC_00503	10804	10911	5938	6027	2990	270
gene-SAOUHSC_00504	24703	25395	14286	13572	5882	232
gene-SAOUHSC_00505	76060	69314	39369	45590	24572	3507
gene-SAOUHSC_00506	2	1	1	3	1	0
gene-SAOUHSC_00507	4340	3930	2593	13396	20531	6644
gene-SAOUHSC_00508	3026	2446	1959	7372	12503	1491
gene-SAOUHSC_00509	8097	6940	5316	16423	25122	3701
gene-SAOUHSC_00510	768	721	447	2273	4677	1601
gene-SAOUHSC_00511	1807	1766	1071	6998	11657	2566
gene-SAOUHSC_00512	647	594	408	2497	5307	613
gene-SAOUHSC_00513	1072	989	592	3840	5897	2134
gene-SAOUHSC_00514	1236	1114	713	3982	6728	896
gene-SAOUHSC_00515	715	626	466	2401	3455	247
gene-SAOUHSC_00516	2331	1883	1842	3600	5723	632
gene-SAOUHSC_00517	5468	4720	3781	6870	8170	2407
